bvid,bullet_content,bullet_entry,bullet_time,bullet_crawler_time
BV1E14y1v724,你好，铝合金,21.01000,2022-09-16 11:16:49,2022-09-16 20:41:45
BV1E14y1v724,空调:谁来保护我,76.37900,2022-09-16 11:08:02,2022-09-16 20:41:45
BV1E14y1v724,什么牌子的空调,75.75900,2022-09-16 08:05:48,2022-09-16 20:41:45
BV1E14y1v724,广告商的商机,7.91500,2022-09-15 23:39:00,2022-09-16 20:41:45
BV1E14y1v724,鼓风机,15.54900,2022-09-15 22:44:41,2022-09-16 20:41:45
BV1E14y1v724,谢谢你省流助手,4.13900,2022-09-15 17:27:58,2022-09-16 20:41:45
BV1E14y1v724,鼓风机？,15.29900,2022-09-16 01:14:10,2022-09-16 20:41:45
BV1E14y1v724,啊这，难怪学校的老是旋不起来,46.61000,2022-09-16 20:33:28,2022-09-16 20:41:45
BV1E14y1v724,老设备,2.18700,2022-09-16 20:16:57,2022-09-16 20:41:45
BV1E14y1v724,草，原来如此,46.21900,2022-09-16 20:09:11,2022-09-16 20:41:45
BV1E14y1v724,一本正经的胡说八道,8.90100,2022-09-16 20:04:34,2022-09-16 20:41:45
BV1E14y1v724,啥牌的空调,70.91100,2022-09-16 19:41:31,2022-09-16 20:41:45
BV1E14y1v724,值了,68.82500,2022-09-16 19:38:56,2022-09-16 20:41:45
BV1E14y1v724,我觉得这种很好我们学校升国旗的时候要么是前面还没放完就拉完了要么就是反着,38.21900,2022-09-16 19:33:14,2022-09-16 20:41:45
BV1E14y1v724,什么牌子的？,19.78500,2022-09-16 19:23:18,2022-09-16 20:41:45
BV1E14y1v724,笑死了,50.92900,2022-09-16 19:09:01,2022-09-16 20:41:45
BV1E14y1v724,全国最豪华旗杆,53.49900,2022-09-16 19:03:07,2022-09-16 20:41:45
BV1E14y1v724,科隆,13.69400,2022-09-16 18:56:47,2022-09-16 20:41:45
BV1E14y1v724,看不见都是人,10.97900,2022-09-16 18:47:36,2022-09-16 20:41:45
BV1E14y1v724,能上连接吗,72.63800,2022-09-16 18:45:59,2022-09-16 20:41:45
BV1E14y1v724,我们学校几乎每次升国旗国旗都会卷起来，有一次直接把那个杆子卷了两圈半（没玩梗哈哈哈）,50.31900,2022-09-16 18:35:09,2022-09-16 20:41:45
BV1E14y1v724,是格力没错吧，这广告做的可以啊,9.79000,2022-09-16 18:28:55,2022-09-16 20:41:45
BV1E14y1v724,卧槽？真的吗？我一直是这样想的。。。。,48.61900,2022-09-16 18:26:02,2022-09-16 20:41:45
BV1E14y1v724,省流:空调烧毁了,0.61500,2022-09-16 18:25:43,2022-09-16 20:41:45
BV1E14y1v724,空调:我烧毁了,79.63100,2022-09-16 18:25:15,2022-09-16 20:41:45
BV1E14y1v724,小孩子没事装着玩的,35.11900,2022-09-16 18:17:08,2022-09-16 20:41:45
BV1E14y1v724,下面是电机啊,21.11700,2022-09-16 18:03:18,2022-09-16 20:41:45
BV1E14y1v724,五星红旗迎风飘扬,8.33900,2022-09-16 17:57:24,2022-09-16 20:41:45
BV1E14y1v724,啥破设备啊 怕热又怕冷的,73.62800,2022-09-16 17:38:17,2022-09-16 20:41:45
BV1E14y1v724,无聊的地方，也不知道为什么那么多人去看,17.59200,2022-09-16 17:37:31,2022-09-16 20:41:45
BV1E14y1v724,顶天级别的广告位,11.23700,2022-09-16 17:23:36,2022-09-16 20:41:45
BV1E14y1v724,玩手机玩的,13.77900,2022-09-16 17:19:10,2022-09-16 20:41:45
BV1E14y1v724,应该不是步进  肯定伺服  ,36.38400,2022-09-16 17:18:29,2022-09-16 20:41:45
BV1E14y1v724,我记得是格力,69.13900,2022-09-16 17:01:59,2022-09-16 20:41:45
BV1E14y1v724,怪不得,43.47900,2022-09-16 16:44:14,2022-09-16 20:41:45
BV1E14y1v724,不错 马上用到光刻机上,63.85900,2022-09-16 16:10:16,2022-09-16 20:41:45
BV1E14y1v724,小孩:啊对对对我什么都吃,20.79900,2022-09-16 15:57:38,2022-09-16 20:41:45
BV1E14y1v724,这技术是真的吗？如果是，那就太落后了，用好的电机自动风冷就可以了,58.74300,2022-09-16 15:43:42,2022-09-16 20:41:45
BV1E14y1v724,学到了,56.04100,2022-09-16 15:32:39,2022-09-16 20:41:45
BV1E14y1v724,上水冷啊,66.55700,2022-09-16 15:18:50,2022-09-16 20:41:45
BV1E14y1v724,这个系统居然自己没有加热和散热。。。,78.56900,2022-09-16 15:18:32,2022-09-16 20:41:45
BV1E14y1v724,应该装管道式，把机器藏起来,6.85900,2022-09-16 15:06:40,2022-09-16 20:41:45
BV1E14y1v724,水冷..,78.05600,2022-09-16 15:02:29,2022-09-16 20:41:45
BV1E14y1v724,？草，破案了，我从小到大都在思考万一没风岂不是卷起来了,43.33900,2022-09-16 15:01:36,2022-09-16 20:41:45
BV1E14y1v724,都是科技,61.35700,2022-09-16 15:01:31,2022-09-16 20:41:45
BV1E14y1v724,鼓风,9.71400,2022-09-16 14:41:36,2022-09-16 20:41:45
BV1E14y1v724,室外旗杆有出气口？？,50.63900,2022-09-16 14:41:16,2022-09-16 20:41:45
BV1E14y1v724,伺服电机断电就没有扭矩了 旗子会掉下来 步进电机断电可惜保持扭矩,37.85200,2022-09-16 14:21:43,2022-09-16 20:41:45
BV1E14y1v724,？,62.29900,2022-09-16 13:50:08,2022-09-16 20:41:45
BV1E14y1v724,太不美观了，应该改改,10.49900,2022-09-16 13:45:31,2022-09-16 20:41:45
